Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Tajikistan,TJK,2023,7.291276007890701,10389807.0,Asia,,TJK,2023,1397964111,2015.0
Tanzania,TZA,2023,51.34686827659607,,,2018.0,TZA,2023,6630735839,2018.0
Thailand,THA,2023,0.0048422549298265,71702436.0,Asia,,THA,2023,56243804687,2013.0
Togo,TGO,2023,34.418004751205444,,,2021.0,TGO,2023,883533264,2018.0
Tunisia,TUN,2023,0.6540433503687382,,,2021.0,TUN,2023,9633765625,2015.0
Turkey,TUR,2023,0.5295797251164913,,,2022.0,TUR,2023,109267906250,2021.0
Uganda,UGA,2023,59.78437662124634,,,2019.0,UGA,2023,2177502441,2018.0
Ukraine,UKR,2023,0.0337677513016387,,,2020.0,UKR,2023,41070976562,2021.0
United Arab Emirates,ARE,2023,0.0,,,2018.0,ARE,2023,26900597656,2021.0
United Kingdom,GBR,2023,0.498311361297965,,,2021.0,GBR,2023,192433609375,2021.0
United States,USA,2023,1.2497341260313988,343477330.0,North America,,USA,2023,1210540625000,2021.0
Uruguay,URY,2023,0.1693896949291229,3388083.0,South America,,URY,2023,5051994628,2022.0
Uzbekistan,UZB,2023,4.066276550292969,35652311.0,Asia,,UZB,2023,14019171875,2021.0
Vanuatu,VUT,2023,19.49560344219208,,,2019.0,VUT,2023,22676359,2020.0
Vietnam,VNM,2023,1.60335972905159,,,2022.0,VNM,2023,37127199218,2018.0
Zambia,ZMB,2023,71.6561496257782,,,2022.0,ZMB,2023,3325606445,2018.0
Zimbabwe,ZWE,2023,49.21989440917969,,,2019.0,ZWE,2023,1227974487,2018.0
