Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Mauritania,MRT,2023.0,10.221504420042038,,,2019.0,MRT,2023.0,1558608886.0,
Mauritius,,,,,,,MUS,2023.0,1431964111.0,
Mexico,MEX,2023.0,2.3303961381316185,,,2022.0,MEX,2023.0,124365296875.0,2021.0
Micronesia (country),,,,,,,FSM,2023.0,54729598.0,2015.0
Moldova,MDA,2023.0,0.1292223925702273,3067072.0,Europe,,MDA,2023.0,2763658203.0,
Mongolia,MNG,2023.0,0.4398250952363014,,,2022.0,MNG,2023.0,1975173461.0,2017.0
Montenegro,MNE,2023.0,2.4937989190220837,,,2021.0,,,,
Mozambique,MOZ,2023.0,81.3613772392273,,,2022.0,MOZ,2023.0,2576254882.0,2018.0
Myanmar,,,,,,,MMR,2023.0,7395214355.0,2019.0
Nepal,NPL,2023.0,2.4363145232200623,,,2022.0,NPL,2023.0,5057647949.0,2018.0
Netherlands,NLD,2023.0,0.0972631154581904,,,2021.0,NLD,2023.0,69636320312.0,2021.0
New Zealand,,,,,,,NZL,2023.0,14004760742.0,2022.0
Nicaragua,,,,,,,NIC,2023.0,1567166870.0,
Niger,NER,2023.0,60.489869117736816,,,2021.0,NER,2023.0,1289830810.0,2018.0
Nigeria,NGA,2023.0,41.81954860687256,,,2022.0,,,,
North Macedonia,MKD,2023.0,3.94035130739212,,,2019.0,,,,
Norway,NOR,2023.0,0.1970593119040131,5519167.0,Europe,,NOR,2023.0,45817570312.0,2021.0
Oman,,,,,,,OMN,2023.0,8251152343.0,2022.0
Pakistan,PAK,2023.0,16.516171395778656,,,2018.0,PAK,2023.0,26413462890.0,2019.0
Palestine,PSE,2023.0,2.0733127370476723,5409201.0,Asia,,PSE,2023.0,1621687377.0,2021.0
Panama,PAN,2023.0,3.732369840145111,4458758.0,North America,,PAN,2023.0,5368790527.0,2022.0
Papua New Guinea,,,,,,,PNG,2023.0,794233886.0,2018.0
Paraguay,PRY,2023.0,2.392931655049324,6844150.0,South America,,PRY,2023.0,3938853515.0,
Peru,PER,2023.0,5.878738686442375,33845616.0,South America,,PER,2023.0,23466673828.0,
Philippines,PHL,2023.0,11.531732976436617,114891199.0,Asia,,,,,
Poland,POL,2023.0,0.2441274467855692,38762847.0,Europe,,POL,2023.0,76101648437.0,2021.0
Portugal,PRT,2023.0,0.4132632631808519,10430735.0,Europe,,PRT,2023.0,20733718750.0,2021.0
Puerto Rico,,,,,,,PRI,2023.0,9164271484.0,2014.0
Qatar,,,,,,,QAT,2023.0,9967682617.0,2020.0
Romania,ROU,2023.0,0.7001521531492472,19118482.0,Europe,,ROU,2023.0,26138113281.0,2021.0
Russia,RUS,2023.0,0.0416804017731919,,,2020.0,RUS,2023.0,273201875000.0,2018.0
Rwanda,RWA,2023.0,38.55049014091492,13954473.0,Africa,,RWA,2023.0,1940951049.0,
Saint Kitts and Nevis,,,,,,,KNA,2023.0,37478870.0,2021.0
Saint Lucia,,,,,,,LCA,2023.0,108445793.0,
Saint Vincent and the Grenadines,,,,,,,VCT,2023.0,93655471.0,2018.0
Samoa,,,,,,,WSM,2023.0,51692058.0,2016.0
Sao Tome and Principe,,,,,,,STP,2023.0,71810630.0,2018.0
Senegal,SEN,2023.0,17.887471616268158,,,2021.0,SEN,2023.0,4782568359.0,2022.0
Serbia,SRB,2023.0,2.039072103798389,,,2022.0,SRB,2023.0,5409588867.0,2022.0
Seychelles,SYC,2023.0,0.6736329291015863,,,2018.0,SYC,2023.0,121873291.0,2016.0
